Sl. No.,Name of High Court,Disposed of Cases Whole Year 2017,Disposed of Cases Whole Year 2018,Disposed of Cases Whole Year 2019,Disposed of Cases Whole Year 2020,Disposed of Cases Whole Year 2021
1,Allahabad,301259,298035,319573,169158,243392
2,Andhra Pradesh,NA,NA,21516,26572,31860
3,Telangana,62047,66513,35514,22701,40334
4,Bombay,93917,91690,90757,34615,57835
5,Calcutta,62209,50979,63148,24785,52466
6,Chhattisgarh,31493,37215,39488,23678,30809
7,Delhi,39779,44096,41013,19578,27490
8,Gujarat,87164,58765,65424,43394,58537
9,Gauhati,16097,14552,14154,6755,9359
10,Meghalaya,673,737,1008,458,649
11,Manipur,1325,2527,2265,717,1151
12,Tripura,3128,2401,3650,2434,2800
13,Himachal Pradesh,21233,23116,27752,22203,30054
14,Jammu and Kashmir and Ladakh,14386,14875,10223,19431,23617
15,Jharkhand,32632,39822,45298,28337,40588
16,Karnataka,100279,102451,231024,161110,89988
17,Kerala,80255,86341,82070,50590,57003
18,Madhya Pradesh,120310,109766,110626,77032,103415
19,Madras,142084,162081,179144,105586,146244
20,Orissa,74798,63236,93224,61335,105525
21,Patna,98191,117984,117707,51637,60822
22,Punjab andHaryana,105966,122972,128085,71835,87310
23,Rajasthan,112573,102529,172329,84300,124930
24,Sikkim,190,150,223,136,217
25,Uttarakhand,22541,18993,21834,13496,14703
Total,Total,1624529,1631826,1917049,1121873,1441098
