Sl. No.,Name of the High Court,Pendency as on 31-12-2022
1,Allahabad High Court,1032228
2,Bombay High Court,610734
3,Calcutta High Court,207898
4,Gauhati High Court,58501
5,High Court for State of Telangana,254089
6,High Court of Andhra Pradesh,240238
7,High Court of Chhattisgarh,91184
8,High Court of Delhi,105271
9,High Court of Gujarat,161929
10,High Court of Himachal Pradesh,91210
11,High Court of Jammu and Kashmir,44526
12,High Court of Jharkhand,87992
13,High Court of Karnataka,304444
14,High Court of Kerala,197314
15,High Court of Madhya Pradesh,429743
16,High Court of Manipur,4865
17,High Court of Meghalaya,1188
18,High Court of Odisha,164709
19,High Court of Punjab and Haryana,447886
20,High Court of Rajasthan,633787
21,High Court of Sikkim,165
22,High Court of Tripura,1601
23,High Court of Uttarakhand,45023
24,Madras High Court,550083
25,Patna High Court,212106
Total,Total,5978714
