Sl. No.,High Court,Total
1,Allahabad High Court,1065951
2,Bombay High Court,719818
3,High Court of Rajasthan,670849
4,Madras High Court,543894
5,High Court of Madhya Pradesh,451450
6,High Court of Punjab and Haryana,441052
7,High Court of Karnataka,284971
8,High Court of Kerala,254464
9,High Court of Andhra Pradesh,250260
10,High Court for State of Telangana,250243
11,Calcutta High Court,196675
12,Patna High Court,194895
13,High Court of Gujarat,168329
14,Orissa High Court,145367
15,High Court of Delhi,112653
16,High Court of Himachal Pradesh,96767
17,High Court Of Chhattisgarh,91238
18,High Court of Jharkhand,84947
19,Gauhati High Court,62174
20,High Court of Uttarakhand,50415
21,High Court of Jammu and Kashmir,44456
22,High Court of Manipur,4583
23,High Court of Tripura,1282
24,High Court of Meghalaya,1064
25,High Court of Sikkim,179
Total,Total,6187976
